Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-05-19 08:10:38","Sparty McFIy",e8f0da17-1f4c-46b4-a227-26e3b7b6bd47,Argyle,CTF,"Ranked Arena",CrossPlay,Open,2148,,Loss,52.31,5274,5821,411,215,196,0.58,-6.66,14,24,10,0,0,22,19,1985,0,10,753
"2023-05-19 08:32:36","Sparty McFIy",db7414b0-65e6-48ba-b594-e57a189e7681,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,2135,,Loss,50.43,6885,6925,690,348,342,1.05,5.33,23,22,13,0,0,27,22,3225,0,10,883
"2023-05-19 08:51:31","Sparty McFIy",88a05b97-3479-4c44-aab3-76ff9ec0f3a7,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,2123,,Win,42.94,5264,3187,510,219,291,2.86,16.33,20,7,10,0,0,18,13,2975,0,9,541
"2023-05-19 09:02:29","Sparty McFIy",d5a1af53-f7a5-4b44-b506-82cd0264fa62,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,2128,,Win,61.74,3290,3168,311,192,119,1.20,4.33,12,10,7,0,0,15,10,1550,0,6,451
"2023-05-19 09:11:00","Sparty McFIy",14e5e457-96b9-4d9c-b6f2-389f3ffc3d53,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,2132,,Loss,53.77,6902,6449,703,378,325,1.42,11.33,27,19,10,0,0,25,19,3645,0,12,781
"2023-05-19 19:39:40","Sparty McFIy",5dda6262-226c-4753-9328-5b906ee97248,Empyrean,CTF,"Ranked Arena",CrossPlay,Open,2121,,Win,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,58
"2023-05-19 19:42:32","Sparty McFIy",36df0102-f501-4617-800c-5ab2405ba089,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,2125,,Win,60.99,4126,3798,405,247,158,1.55,8.33,17,11,7,0,0,16,10,2050,0,9,469
"2023-05-19 19:54:58","Sparty McFIy",fb340589-6c57-4316-8eb2-b1b2caad9971,Starboard,Slayer,"Ranked Arena",CrossPlay,Open,2129,,Loss,68.23,4353,3902,384,262,122,0.92,0.00,12,13,3,0,0,12,10,1350,0,4,411
"2023-05-19 20:03:59","Sparty McFIy",36bc2de9-7f4d-4b47-9e58-18c1a23e3a3f,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,2117,,Loss,54.14,8198,7183,628,340,288,1.71,17.00,36,21,6,0,0,25,20,4225,0,15,818
"2023-05-19 20:20:23","Sparty McFIy",b9e6fe25-2a7f-4678-8dc7-90615d010842,Starboard,Slayer,"Ranked Arena",CrossPlay,Open,2108,,Win,59.87,3979,3137,304,182,122,1.75,8.66,14,8,8,0,0,13,9,1810,0,8,390
"2023-05-19 20:28:05","Sparty McFIy",d775ee34-6f7b-474f-9ea7-a8c396bc4e02,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,2113,,Win,53.62,3605,2994,235,126,109,1.63,7.66,13,8,8,0,0,13,9,1700,0,5,392
"2023-05-19 20:35:28","Sparty McFIy",576dd5dc-8016-4222-86ec-b54784e97569,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,2118,,Win,69.21,4687,4450,367,254,113,1.06,3.00,18,17,6,0,0,17,14,2500,0,7,555
"2023-05-19 20:45:53","Sparty McFIy",7cb88758-67ba-4fe4-ba05-4f54e7ff42d1,Starboard,Slayer,"Ranked Arena",CrossPlay,Open,2123,,Win,52.05,3471,4184,342,178,164,0.75,-0.33,9,12,8,0,0,14,11,1300,0,4,447
"2023-05-19 20:54:35","Sparty McFIy",7bc839d7-0e95-4615-8ffa-655b62f8b63a,Aquarius,CTF,"Ranked Arena",CrossPlay,Open,2128,,Win,54.27,3876,4088,422,229,193,0.93,1.66,14,15,8,0,0,20,13,2950,0,7,564
"2023-05-19 21:05:09","Sparty McFIy",79e87a83-b7b1-4eea-9954-e3635c2dfa13,Empyrean,CTF,"Ranked Arena",CrossPlay,Open,2132,,Win,52.44,7912,6028,635,333,302,1.61,15.33,29,18,13,1,0,25,18,3775,0,17,769
"2023-05-19 21:18:56","Sparty McFIy",2162684b-ea7a-45f2-946a-5d735cde8e30,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,2137,,Win,60.06,3784,3212,343,206,137,1.75,8.33,14,8,7,0,0,14,10,1750,0,5,414
"2023-05-19 21:27:51","Sparty McFIy",9ae24f91-58bd-4d46-9655-5c5762338e85,Streets,"King of the Hill","Ranked Arena",CrossPlay,Open,2141,,Win,50.83,6176,5553,541,275,266,0.84,1.33,16,19,13,0,0,22,20,2250,0,7,764
"2023-05-19 21:41:47","Sparty McFIy",89bde4cf-b4e0-4900-9f6f-b87b9033019b,Streets,Oddball,"Ranked Arena",CrossPlay,Open,2145,,Win,54.01,8282,6239,598,323,275,1.43,11.00,30,21,6,0,0,27,21,3425,0,12,863
"2023-05-20 02:28:55","Sparty McFIy",71dd1955-6a36-449b-92e1-8e8cad530f1c,Argyle,CTF,"Ranked Arena",CrossPlay,Open,2149,,Win,51.98,6151,4451,479,249,230,1.71,12.66,24,14,8,0,0,25,18,3310,0,17,749
"2023-05-20 02:44:26","Sparty McFIy",1963133b-05b3-476c-ba71-708a187de843,Streets,"King of the Hill","Ranked Arena",CrossPlay,Open,2153,,Win,60.61,8169,6016,594,360,234,1.53,14.66,26,17,17,0,0,26,20,3725,4,17,807
"2023-05-20 03:00:29","Sparty McFIy",7c0a4100-212b-4484-9dc1-88da985f8826,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,2157,,Win,40,4646,3375,505,202,303,2.71,14.33,19,7,7,0,0,15,11,2400,3,11,475
"2023-05-20 03:11:05","Sparty McFIy",7c5bc543-090e-47c7-8b5c-713a30e69859,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,2162,,Win,62.5,6608,4566,432,270,162,1.86,16.00,26,14,12,0,0,20,14,3310,1,15,578
"2023-05-20 03:22:04","Sparty McFIy",a3f2a5f9-fc68-4a53-92a7-4a643c0ec5d7,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,2166,,Loss,66.3,4300,3345,365,242,123,1.50,7.33,15,10,7,0,0,15,11,1850,1,3,471
"2023-05-20 03:31:07","Sparty McFIy",1d62c276-0bce-4ec0-bf87-d406b67d9cec,Empyrean,Slayer,"Ranked Arena",CrossPlay,Open,2153,,Win,61.42,4501,3234,197,121,76,3.00,14.00,18,6,6,0,0,14,10,2100,0,19,427
"2023-05-20 03:39:30","Sparty McFIy",bfe9186e-f24f-49e7-afdc-403f75dcbeb9,"Live Fire",Slayer,"Ranked Arena",CrossPlay,Open,2158,,Loss,54.34,3197,3540,265,144,121,0.67,-2.66,8,12,4,0,0,12,10,1000,1,6,396
"2023-05-20 03:47:11","Sparty McFIy",e84edaa5-3856-4f50-9df1-515801623fd3,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,2146,,Win,50,531,691,48,24,24,0.67,-0.66,2,3,1,0,0,3,2,250,0,0,101
"2023-05-20 03:50:15","Sparty McFIy",7f6aee8a-fb3e-41b5-bc73-9eeb6e5f485d,Recharge,Oddball,"Ranked Arena",CrossPlay,Open,2151,,Win,68.25,5965,3952,485,331,154,1.75,12.66,21,12,11,0,0,18,12,2785,4,14,522
"2023-05-20 04:00:17","Sparty McFIy",d131f8d0-2952-4128-952b-c86bf05a2b9d,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,2156,,Win,51.05,7484,5919,621,317,304,1.40,10.66,28,20,8,0,0,23,16,3270,0,10,685
"2023-05-20 04:13:19","Sparty McFIy",962ddbd1-93f6-47b4-ae25-04676961aa66,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,2161,,Win,0,0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,45
"2023-05-20 04:14:58","Sparty McFIy",8a417faa-3195-4cad-9977-9bd8088510dc,"Live Fire",Strongholds,"Ranked Arena",CrossPlay,Open,2165,,Win,44.72,1395,966,123,55,68,1.33,2.33,4,3,4,0,0,9,4,625,0,1,262
