Date,Player,MatchId,Map,Category,Playlist,Input,Queue,Csr,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,Kills,Deaths,Assists,Betrayals,Suicides,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-08 06:13:38",eArL694412,1a46e173-7c65-4f89-b2e1-9c42485d35f2,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,0,,Win,25,480,807,16,4,12,1.50,1.33,3,2,1,0,0,,,350,0,0,248
"2023-11-08 06:18:54",eArL694412,b38fbc7b-3609-492f-95dd-5c4f1e5f1647,"Live Fire","King of the Hill","Ranked Arena",CrossPlay,Open,969,,Win,80.56,1133,875,36,29,7,1.00,1.00,2,2,3,0,0,6,3,500,0,1,270
"2023-11-08 06:24:15",eArL694412,66258920-ae68-4be0-aa14-b68da02a7dd7,Recharge,Extraction,"Ranked Arena",CrossPlay,Open,974,,Loss,54.41,5252,4390,204,111,93,0.81,-1.33,13,16,5,0,0,13,14,1950,0,6,584
"2023-11-08 06:36:18",eArL694412,e0742e69-7706-4dd8-8117-77da095d4c04,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,966,,Loss,46.95,3650,3194,164,77,87,0.89,1.66,8,9,8,0,0,10,12,1210,0,2,505
"2023-11-09 00:30:34",eArL694412,07148e1d-751c-4b6b-8100-39d2ec2175eb,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,958,,Win,46.46,5299,4945,297,138,159,1.33,6.33,12,9,10,0,0,16,16,1700,0,6,704
"2023-11-09 00:43:11",eArL694412,c644df9e-288b-4fa5-8564-b33ba5e4e498,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,967,,Win,51.61,4258,3675,186,96,90,0.69,0.00,9,13,12,0,0,10,11,1510,0,4,485
"2023-11-09 00:53:49",eArL694412,30444356-4432-4bc7-aee3-a6767bbddf53,Solitude,Strongholds,"Ranked Arena",CrossPlay,Open,975,,Win,48.91,6487,5209,321,157,164,1.73,14.00,26,15,9,0,0,17,17,3650,0,13,732
"2023-11-09 01:08:08",eArL694412,3c655296-fc9a-4f18-ac6e-669e6f16fb02,Recharge,Extraction,"Ranked Arena",CrossPlay,Open,984,,Loss,45.17,4931,4852,259,117,142,0.93,3.66,14,15,14,0,0,17,18,2825,0,5,763
"2023-11-09 01:21:58",eArL694412,a25738f1-8d9a-4598-a4ec-2f34fa7f590e,Recharge,Slayer,"Ranked Arena",CrossPlay,Open,976,,Win,47.64,3677,3229,233,111,122,1.43,5.00,10,7,6,0,0,11,11,1310,0,2,506
"2023-11-09 01:31:14",eArL694412,800ea4da-5a17-4891-b6a2-4e6a7b695962,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,984,,Win,56.32,2187,1440,87,49,38,1.75,5.00,7,4,6,0,0,7,5,1010,0,2,275
