Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-11-04 05:45:01",5,1,eArL694412,91a33e14-c8d2-486d-9b34-32ca693fab2a,Empyrean,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,951,944,6,1,1,0,,Loss,53.33,2958,3510,135,72,63,0.36,-5.00,4,0,1,2,1,0,0,0,11,6,0,0,2,0,0,7,12,700,0,3,477
"2023-11-05 21:19:26",5,1,eArL694412,9f76989d-686c-4a1e-ae90-231279ddca70,Solitude,"King of the Hill","Ranked Arena",CrossPlay,Open,944,954,1,1,1,0,,Win,53.94,7818,5749,330,178,152,1.64,12.33,23,2,2,14,0,0,0,0,14,10,0,0,3,0,0,21,17,3175,0,13,706
"2023-11-05 21:32:41",5,1,eArL694412,40387d15-1aad-41ea-aa9b-1ac6f92a7b80,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,954,947,8,1,1,0,,Loss,42.98,4279,4298,228,98,130,0.62,-3.00,8,2,0,6,1,0,0,0,13,6,0,0,3,0,0,12,12,1100,0,4,542
"2023-11-05 21:45:19",5,1,eArL694412,3f27a795-86f8-4187-8477-27914441bcd0,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,947,940,8,1,1,0,,Loss,47.86,4931,4916,234,112,122,0.88,3.00,14,1,0,6,0,0,0,0,16,15,1,0,3,0,0,17,16,2170,0,5,661
"2023-11-05 21:58:02",5,1,eArL694412,b46fdaca-ed00-4017-9f33-8f192ec31b8c,Solitude,Slayer,"Ranked Arena",CrossPlay,Open,940,950,2,1,1,0,,Win,52.61,5183,3942,230,121,109,1.36,6.66,15,0,2,9,0,0,0,0,11,8,0,0,3,0,0,14,13,1900,0,3,608
"2023-11-05 22:09:31",5,1,eArL694412,7e2338f6-d34a-4a5c-b42f-cbc19302319f,Streets,Oddball,"Ranked Arena",CrossPlay,Open,950,943,7,1,1,0,,Loss,52.62,9282,9962,401,211,190,0.70,-3.00,21,1,3,9,0,0,0,1,30,18,0,0,4,0,0,27,27,3425,0,8,1097
"2023-11-05 22:28:41",5,1,eArL694412,2f80ea09-5505-41f3-bedb-dfb457064b4a,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,943,937,5,1,1,0,,Loss,57.62,8259,6254,328,189,139,1.28,8.66,23,2,3,9,0,0,0,0,18,11,0,0,5,0,0,22,20,3050,0,8,795
"2023-11-06 00:35:26",5,1,eArL694412,fcf63bcc-e60f-472c-a556-ee88aca68081,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,937,947,2,1,1,0,,Win,50.16,5706,3655,305,153,152,1.44,7.00,13,0,1,7,0,0,0,0,9,9,0,0,4,0,0,16,14,1750,0,6,668
"2023-11-06 00:48:10",5,1,eArL694412,e8f297a3-1e0a-4ec1-a7a2-23502aee1b90,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,947,941,5,1,1,0,,Loss,48.96,4118,3099,192,94,98,1.00,3.00,11,1,0,5,0,0,0,0,11,9,0,0,4,0,0,11,10,1700,0,2,452
"2023-11-06 00:56:46",5,1,eArL694412,16d5ae87-d6af-468d-811d-bf39e7387e71,Recharge,"King of the Hill","Ranked Arena",CrossPlay,Open,941,950,1,1,1,0,,Win,50.66,5317,5013,229,116,113,0.72,-0.66,13,3,3,2,0,0,0,0,18,13,0,0,3,0,0,18,16,2250,0,5,643
"2023-11-06 01:08:42",5,1,eArL694412,20b23a25-21d5-41e2-882b-7a10a6dc3329,"Live Fire",Oddball,"Ranked Arena",CrossPlay,Open,950,943,8,1,1,0,,Loss,53.96,7829,7243,328,177,151,0.96,6.33,23,1,1,16,0,0,0,0,24,22,1,0,4,0,0,24,24,3685,0,5,972
"2023-11-06 01:27:20",5,1,eArL694412,3e54f9ed-edee-493f-baaf-89359e930c60,Recharge,Strongholds,"Ranked Arena",CrossPlay,Open,943,954,1,1,1,0,,Win,57.09,7215,5262,247,141,106,1.56,12.33,28,5,3,8,0,0,0,0,18,7,0,0,6,0,0,18,16,3500,0,16,727
"2023-11-06 01:41:02",5,1,eArL694412,63e629e1-8748-47ae-b0b4-57b760351dd2,Streets,Oddball,"Ranked Arena",CrossPlay,Open,954,949,8,1,1,0,,Loss,55.74,9183,7717,357,199,158,1.48,13.33,34,4,4,15,2,0,0,0,23,7,0,0,5,0,0,24,24,3940,0,18,1000
"2023-11-06 01:58:45",5,1,eArL694412,d4003a38-ffea-4107-9614-bc5cadde4746,Aquarius,Slayer,"Ranked Arena",CrossPlay,Open,949,959,2,1,1,0,,Win,45.93,4422,4078,246,113,133,1.18,3.66,13,1,0,7,0,0,0,0,11,5,0,0,4,0,0,13,11,1550,0,4,528
"2023-11-06 02:31:35",5,1,eArL694412,457d8d2e-3036-42e3-a6c6-aed4cad912f4,Forbidden,"CTF 3 Captures","Ranked Arena",CrossPlay,Open,959,952,5,1,1,0,,Loss,43.64,2387,2420,110,48,62,0.33,-5.33,3,1,0,1,1,0,0,0,9,2,0,1,2,0,0,8,8,325,0,1,406
